Word,Frequency
75For75,1
DilSeDesi,1
FestiveComboBag,1
HappinessEveryday,1
HurryUp,1
Janmashtami,1
JanmashtamiComboBags,1
JanmashtamiSpl,1
PreOrdersOpen,1
SignatureGiftBoxes,1
Tomatorasam,1
adhbhut,1
agra,1
amritmohatsav,1
anokha,1
awishvasniye,1
bihar,1
biriyani,1
biscuit,1
cheese,1
chef,3
confusion,1
cooking,3
cottagecheese,1
delhi,2
delhifood,2
delhifoodblogger,2
delhifoodie,2
delhigram,2
delhistreetfood,2
delicious,3
desikhana,2
dessert,1
dilsecouple,4
dilsefoodie,5
dinner,3
donnebiryani,1
doritos,1
dosa,1
doughnuts,1
explore,1
follow,2
food,4
foodblogger,5
foodcollabs,2
foodgasm,5
foodgram,2
foodie,5
foodieincarnate,5
foodies,3
foodiesofinstagram,2
foodiewe,2
foodlover,5
foodnews,5
foodphotography,3
foodpics,3
foodporn,5
foodpornshare,2
foodstagram,3
foodtalkindia,2
foodzeee,5
foxnut,1
frenchs,1
gits,1
gitsfood,1
gurudwara,1
gurugobindsinghji,1
harghartiranga,1
healthy,2
healthyfood,2
homemade,3
indianfood,2
indianfoodblogger,2
indianfoodbloggers,2
indianfoodie,2
indianstreetfood,2
instafood,3
instagood,3
instagram,3
italianfood,1
ketchup,1
khalsa,1
krishna,1
krishnajayanthi,1
like,2
love,2
lunch,3
maimi,1
makhana,1
masalapaneer,1
miamibeach,1
milkbar,1
mumbai,2
mumbaistreetfood,2
murukku,1
mustard,2
nationalmustardday,1
nationalsmoresday,1
newdelhi,2
newyorkcity,2
nutella,1
paneer,1
paratha,1
pasta,1
peda,1
photooftheday,3
picoftheday,3
ptal,1
rakshabandhan,1
raos,1
raoshomemade,1
rasam,1
recipe,2
reelitfeelit,3
reelkarofeelkaro,3
reels,3
reelsinstagram,3
restaurant,4
restaurantindustry,1
rnr,1
rnrbiryani,1
seedai,1
sikh,1
sikhi,1
sikhism,1
smores,1
sodelhi,2
streetfood,4
streetfoodindia,2
summer,1
sweet,1
tacobell,1
tacos,1
tasty,3
trending,1
vadodara,2
viralfood,2
yummy,3
